dataset,problem,expected,predicted,is_correct,model_raw_output
decimal,33.83 - 1.29,32.54,32.54,True,32.54
decimal,60.94 + -64.13,-3.19,-3.19,True,-3.19
decimal,16.81 - -31.43,48.24,-15.62,False,-15.62
decimal,33.6 + -51.22,-17.62,-17.62,True,-17.62
decimal,-20.96 - -95.06,74.1,15.1,False,15.1
decimal,91.57 + -59.1,32.47,32.47,True,32.47
decimal,-99.13 + 16.31,-82.82,15.42,False,15.42
decimal,-79.87 - -61.55,-18.32,18.32,False,18.32
decimal,-12.81 + -30.43,-43.24,-42.24,False,-42.24
decimal,95.34 - -16.22,111.56,79.12,False,79.12
decimal,-79.97 - -22.49,-57.48,57.48,False,57.48
decimal,95.72 - 95.8,-0.08,-0.08,True,-0.08
decimal,-93.01 - 40.94,-133.95,52.07,False,52.07
decimal,-51.05 + -41.61,-92.66,-92.66,True,-92.66
decimal,-91.72 + 45.88,-45.84,37.6,False,37.6
decimal,-16.59 - 67.55,-84.14,-83.14,False,-83.14
decimal,20.03 - -20.07,40.1,-0.04,False,-0.04
decimal,-65.4 + 36.78,-28.62,1.9,False,1.9
decimal,-83.77 + 25.46,-58.31,109.23,False,109.23
decimal,39.89 - -45.04,84.93,-5.15,False,-5.15
decimal,18.26 + 65.7,83.96,83.96,True,83.96
decimal,-97.09 - -29.96,-67.13,67.13,False,67.13
decimal,-96.44 - 62.48,-158.92,-34.0,False,-34
decimal,-76.04 + -12.55,-88.59,-88.59,True,-88.59
decimal,62.16 + 99.27,161.43,161.43,True,161.43
decimal,14.6 + -2.75,11.85,11.85,True,11.85
decimal,-18.24 - 85.52,-103.76,-103.76,True,-103.76
decimal,-5.85 + -29.54,-35.39,-34.39,False,-34.39
decimal,-89.98 - 10.13,-100.11,-100.11,True,-100.11
decimal,-73.18 - 95.15,-168.33,-121.97,False,-121.97
decimal,70.98 - -22.22,93.2,88.2,False,88.2
decimal,-45.31 - 60.03,-105.34,-105.34,True,-105.34
decimal,-37.61 - -32.81,-4.8,4.8,False,4.8
decimal,-80.16 - 32.72,-112.88,47.44,False,47.44
decimal,-52.32 - -78.28,25.96,29.04,False,29.04
decimal,-88.67 + -72.59,-161.26,15.08,False,15.08
decimal,6.45 - -55.15,61.6,-48.7,False,-48.7
decimal,-21.45 - 25.63,-47.08,-46.08,False,-46.08
decimal,-96.28 + 86.29,-9.99,182.57,False,182.57
decimal,15.2 - 19.04,-3.84,-3.84,True,-3.84
decimal,45.66 + 83.27,128.93,128.93,True,128.93
decimal,-69.97 - 90.96,-160.93,-121.93,False,-121.93
decimal,74.11 + -6.37,67.74,67.74,True,67.74
decimal,-7.03 - -59.28,52.25,-52.25,False,-52.25
decimal,30.14 - -7.43,37.57,22.71,False,22.71
decimal,-91.31 + 82.33,-8.98,173.64,False,173.64
decimal,-2.23 + 93.75,91.52,91.52,True,91.52
decimal,17.74 + -72.08,-54.34,-54.34,True,-54.34
decimal,-36.23 + 62.27,26.04,26.04,True,26.04
decimal,90.49 - -36.82,127.31,53.67,False,53.67
decimal,-55.8 - -11.88,-43.92,43.92,False,43.92
decimal,-38.88 + -98.61,-137.49,-137.49,True,-137.49
decimal,14.64 - 64.79,-50.15,-50.15,True,-50.15
decimal,93.22 + 7.74,100.96,101.96,False,101.96
decimal,51.23 - -34.83,86.06,16.4,False,16.4
decimal,45.82 - 60.5,-14.68,-14.68,True,-14.68
decimal,20.98 + 27.35,48.33,48.33,True,48.33
decimal,42.57 + 38.69,81.26,81.26,True,81.26
decimal,31.61 - -64.52,96.13,-33.91,False,-33.91
decimal,-96.84 + -1.45,-98.29,-97.29,False,-97.29
decimal,-63.12 - 58.91,-122.03,4.21,False,4.21
decimal,4.89 - -95.58,100.47,-90.69,False,-90.69
decimal,17.68 + 86.68,104.36,104.36,True,104.36
decimal,-84.09 + 14.68,-69.41,-69.41,True,-69.41
decimal,70.24 + 27.0,97.24,97.24,True,97.24
decimal,76.62 - -26.58,103.2,50.04,False,50.04
decimal,-21.22 + -14.07,-35.29,-35.29,True,-35.29
decimal,-42.24 + 76.26,34.02,34.02,True,34.02
decimal,-98.49 - -92.79,-5.7,5.7,False,5.7
