dataset,problem,expected,predicted,is_correct,model_raw_output
integer,-91 + 49,-42.0,42.0,False,42
integer,22 + -3,19.0,19.0,True,19
integer,-83 + -16,-99.0,-99.0,True,-99
integer,38 - -87,125.0,-49.0,False,-49
integer,39 - -19,58.0,20.0,False,20
integer,-63 - -20,-43.0,43.0,False,43
integer,-61 + -20,-81.0,-81.0,True,-81
integer,1 + 16,17.0,17.0,True,17
integer,93 + -16,77.0,77.0,True,77
integer,-15 + 71,56.0,56.0,True,56
integer,-44 + 50,6.0,6.0,True,6
integer,36 - -51,87.0,15.0,False,15
integer,18 - 86,-68.0,-68.0,True,-68
integer,-6 - -82,76.0,-76.0,False,-76
integer,36 - -83,119.0,-47.0,False,-47
integer,42 + 56,98.0,98.0,True,98
integer,-65 + 43,-22.0,-22.0,True,-22
integer,23 - 39,-16.0,-16.0,True,-16
integer,18 - -25,43.0,43.0,True,43
integer,-43 + 3,-40.0,-40.0,True,-40
integer,34 + 71,105.0,105.0,True,105
integer,59 + 58,117.0,117.0,True,117
integer,40 - -15,55.0,25.0,False,25
integer,-90 - -24,-66.0,66.0,False,66
integer,-80 + 27,-53.0,-53.0,True,-53
integer,-44 + 29,-15.0,-15.0,True,-15
integer,42 + 56,98.0,98.0,True,98
integer,-53 - -32,-21.0,21.0,False,21
integer,42 - -67,109.0,-25.0,False,-25
integer,27 - -7,34.0,20.0,False,20
integer,91 - 58,33.0,33.0,True,33
integer,-23 + -95,-118.0,-118.0,True,-118
integer,15 - 24,-9.0,-9.0,True,-9
integer,14 + 80,94.0,94.0,True,94
integer,42 - 67,-25.0,-25.0,True,-25
integer,37 + -21,16.0,16.0,True,16
integer,91 - 39,52.0,52.0,True,52
integer,74 + 11,85.0,85.0,True,85
integer,-60 + -18,-78.0,-78.0,True,-78
integer,-87 - 84,-171.0,-3.0,False,-3
integer,64 - 25,39.0,39.0,True,39
integer,-53 + -32,-85.0,-85.0,True,-85
integer,-73 + -24,-97.0,-97.0,True,-97
integer,-54 - 25,-79.0,-79.0,True,-79
integer,-46 - -56,10.0,-10.0,False,-10
integer,-86 - -76,-10.0,10.0,False,10
integer,93 - 97,-4.0,-4.0,True,-4
integer,62 - -43,105.0,19.0,False,19
integer,67 + -55,12.0,12.0,True,12
integer,42 - 31,11.0,11.0,True,11
integer,-95 + -9,-104.0,-104.0,True,-104
integer,76 + 55,131.0,131.0,True,131
integer,-86 - -16,-70.0,70.0,False,70
integer,91 + -53,38.0,38.0,True,38
integer,68 + 60,128.0,128.0,True,128
integer,-78 + 35,-43.0,3.0,False,3
integer,61 + -59,2.0,2.0,True,2
integer,-76 - -3,-73.0,73.0,False,73
integer,-65 + 71,6.0,6.0,True,6
integer,79 - -18,97.0,61.0,False,61
integer,-91 + 88,-3.0,-3.0,True,-3
integer,-89 + 48,-41.0,-41.0,True,-41
integer,-29 - 52,-81.0,-81.0,True,-81
integer,-77 - -20,-57.0,57.0,False,57
integer,0 + 80,80.0,0.0,False,0
integer,42 + 94,136.0,136.0,True,136
integer,-61 + 59,-2.0,-2.0,True,-2
integer,76 + 4,80.0,80.0,True,80
integer,44 - 85,-41.0,-41.0,True,-41
integer,29 - 54,-25.0,-25.0,True,-25
integer,-87 - -62,-25.0,25.0,False,25
